Designator,Mid X,Mid Y,Rotation,Layer
C1,171.429001,-102.621551,270.0,top
C10,134.599001,-115.829551,270.0,top
C11,136.504001,-116.845551,270.0,top
C12,135.107001,-101.351551,180.0,top
C13,134.599001,-103.129551,180.0,top
C2,173.588001,-102.494551,270.0,top
C3,172.953001,-117.734551,0.0,top
C4,146.440001,-70.433551,90.0,top
C5,166.222001,-69.347551,270.0,top
C6,163.792101,-74.411551,180.0,top
C7,133.440001,-72.433551,90.0,top
C8,172.953001,-115.702551,0.0,top
C9,136.240001,-80.733551,270.0,top
J1,173.68,-128.513551,90.0,top
J2,173.68,-94.433551,90.0,top
J3,134.191552,-89.353551,270.0,top
J4,134.191552,-123.433551,270.0,top
J5,156.579026,-71.233551,180.0,top
R1,175.874001,-102.621551,270.0,top
R2,137.520001,-99.573551,270.0,top
U1,153.48,-104.383551,0.0,top
U2,132.440001,-80.333551,180.0,top
U3,173.080001,-109.606551,180.0,top
U4,133.710001,-109.433551,0.0,top
U5,140.440001,-72.433551,180.0,top
U6,174.578601,-77.263551,270.0,top
